epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.038,4.05143,6.19384,4.28682,0.00036,0.07246,0.00025,6e-05,4.50071,7.15187,4.16117,0.00062,0.00062,0.00062
2,680.08,3.85876,5.51189,3.9463,0.00035,0.07246,0.00022,6e-05,4.46457,5.51559,4.16664,0.00123505,0.00123505,0.00123505
3,961.693,3.53993,4.79403,3.52322,0.00054,0.03623,0.00034,9e-05,4.70398,5.32735,4.69581,0.00182476,0.00182476,0.00182476
4,1239.49,3.20216,3.96723,3.21662,0.17664,0.07246,0.02406,0.00523,3.31591,4.49023,3.16717,0.0018812,0.0018812,0.0018812
5,1516.35,3.07059,3.54153,2.91571,0.06532,0.15217,0.02187,0.00501,3.10245,6.22583,3.05202,0.0018416,0.0018416,0.0018416
6,1792.57,3.07877,3.34617,2.78763,0.14839,0.13768,0.06017,0.01241,3.02205,3.63879,3.11202,0.001802,0.001802,0.001802
7,2112.6,2.87996,3.06751,2.66978,0.2282,0.1087,0.05484,0.01012,2.93052,6.73156,2.95703,0.0017624,0.0017624,0.0017624
8,2394.74,2.80946,2.90565,2.54891,0.24211,0.16667,0.10618,0.03517,2.52659,3.23647,2.34673,0.0017228,0.0017228,0.0017228
9,2678.27,2.67947,2.63512,2.42709,0.26902,0.25362,0.17021,0.06374,2.42315,2.78856,2.21915,0.0016832,0.0016832,0.0016832
10,2956.29,2.69849,2.53255,2.3736,0.28128,0.24673,0.16631,0.05638,2.68984,3.00298,2.39338,0.0016436,0.0016436,0.0016436
11,3233.32,2.5873,2.43069,2.30095,0.42839,0.28261,0.26896,0.08705,2.49755,2.4004,2.23886,0.001604,0.001604,0.001604
12,3517.45,2.46806,2.33747,2.23253,0.54013,0.28986,0.27986,0.09043,2.4038,2.19513,2.12733,0.0015644,0.0015644,0.0015644
13,3884.13,2.49816,2.32189,2.2214,0.46635,0.31665,0.3196,0.11866,2.48184,2.18521,2.14481,0.0015248,0.0015248,0.0015248
14,4163.59,2.3969,2.29999,2.16824,0.36825,0.30413,0.30244,0.11777,2.12447,2.05289,1.9945,0.0014852,0.0014852,0.0014852
15,4440.85,2.31921,2.1265,2.11354,0.29857,0.23443,0.16941,0.04915,2.45443,2.54784,2.10335,0.0014456,0.0014456,0.0014456
16,4711.92,2.36686,2.13867,2.0822,0.42083,0.3913,0.29978,0.1193,2.14166,2.0111,1.94001,0.001406,0.001406,0.001406
17,4984.7,2.2926,2.05578,2.07645,0.67134,0.31085,0.36008,0.15457,2.17527,2.16586,1.98049,0.0013664,0.0013664,0.0013664
18,5262.27,2.20998,1.98316,2.02704,0.57221,0.36957,0.41392,0.16943,2.23647,1.92752,1.9916,0.0013268,0.0013268,0.0013268
19,5528.96,2.18874,1.9666,1.98322,0.65477,0.39855,0.43403,0.20768,2.04548,1.72098,1.90378,0.0012872,0.0012872,0.0012872
20,5794.42,2.15495,1.91589,1.93364,0.65183,0.39345,0.46057,0.21829,2.10874,1.82411,1.89144,0.0012476,0.0012476,0.0012476
21,6067.11,2.1286,1.81345,1.83459,0.74108,0.39409,0.48858,0.23844,2.03453,1.60968,1.8176,0.001208,0.001208,0.001208
22,6341.45,2.1423,1.82178,1.88166,0.62004,0.41304,0.46014,0.21511,2.08968,1.66237,1.96795,0.0011684,0.0011684,0.0011684
23,6611.23,2.14368,1.79374,1.90507,0.70097,0.42754,0.49905,0.24733,2.00021,1.7011,1.92465,0.0011288,0.0011288,0.0011288
24,6880.64,2.02752,1.77704,1.83253,0.67053,0.47194,0.52672,0.24036,2.04495,1.59584,1.85319,0.0010892,0.0010892,0.0010892
25,7144.64,2.04618,1.77417,1.83508,0.65678,0.44375,0.52853,0.25527,1.93941,1.56121,1.80393,0.0010496,0.0010496,0.0010496
26,7408.67,2.04265,1.72957,1.87347,0.63391,0.45174,0.51079,0.25081,1.95136,1.56831,1.81609,0.00101,0.00101,0.00101
27,7671.64,2.01366,1.69938,1.85722,0.74639,0.40521,0.518,0.23234,1.97379,1.67653,1.82635,0.0009704,0.0009704,0.0009704
