frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
6,2.0,[246.68521877541986 462.2034687297563 476.970570007048 670.3789621976799],[322.596923828125 599.1602783203125 394.48876953125 623.9244384765625],0.6291316151618958,MM13MSU,0.08335661108721815
7,2.0,[245.88665167135395 462.4558933628213 476.3881997305255 670.7953146627929],[322.6053466796875 599.1634521484375 394.4791259765625 623.9227294921875],0.6291035413742065,MM13MSU,0.08335661108721815
8,2.0,[244.56954152569475 463.82165421527856 474.8274771404373 673.1325646630158],[317.67034912109375 601.0098876953125 394.45489501953125 626.3231201171875],0.5689507722854614,NA13MFU,0.4995979335689276
15,2.0,[239.96520209194006 468.9107468128442 474.5798531353534 683.570148360686],[316.4359130859375 608.82275390625 391.2178955078125 635.96923828125],0.7709959149360657,MA13HAU,0.3260924311823676
15,5.0,[729.3374426535045 392.63632022728666 940.0862741481485 594.0891658442112],[807.5681762695312 532.238037109375 859.9750366210938 557.170166015625],0.5618796944618225,MU53TSV,0.04749272070074691
16,2.0,[239.1211983590764 470.48127443627493 474.69519390538596 685.4191087059743],[315.99298095703125 609.4356689453125 391.84735107421875 638.5914306640625],0.6428272724151611,AA13HPU,0.34616354824200707
17,2.0,[237.3097407366904 472.28282609105156 472.7682177268837 687.066962059342],[315.4798583984375 611.9254150390625 388.467041015625 638.4122314453125],0.5893139839172363,HA13HRU,0.2970435075985821
20,2.0,[234.31233051367738 474.6702965313111 471.4319009041468 690.4821482830623],[313.48828125 615.469970703125 391.1312255859375 644.5030517578125],0.6470786333084106,MA13MRU,0.7665117058430583
24,2.0,[231.00841267658342 480.5806726708322 469.14391623334456 697.4947305937455],[313.1905517578125 623.7752075195312 385.258544921875 650.0390014648438],0.718045711517334,OM13MAV,0.015731582784299588
27,2.0,[230.39962842738487 482.022797660816 468.8573058879242 700.0711746047687],[310.68829345703125 623.9569091796875 382.48895263671875 651.8419189453125],0.7084536552429199,VA13IPU,0.03682888320912895
28,2.0,[230.2108263559046 483.2549719063048 468.5620633775783 701.4752281969844],[309.52471923828125 624.8131103515625 385.94091796875 653.941650390625],0.7073047757148743,IA13MRU,0.2425584861503739
29,2.0,[229.90122787786567 484.9707246086291 467.9582479553508 703.1261488576661],[312.48626708984375 628.23193359375 383.54852294921875 655.175537109375],0.7168697714805603,VA13HRU,0.054805886080073
33,2.0,[226.85470106867677 489.16379853397507 466.2544389583564 706.8033634223725],[300.021728515625 633.8693237304688 387.4757080078125 658.8455200195312],0.6644771695137024,MA13HRU,0.12043317164057538
35,2.0,[225.39813270848416 491.80070760034545 465.8523663343882 709.4839486726844],[304.3543701171875 637.44873046875 381.99566650390625 663.215087890625],0.6999572515487671,HA13HRV,0.09725241058807828
40,2.0,[223.27628990089323 499.3179975202097 464.33882266969573 715.1973306675231],[303.00067138671875 641.9090576171875 383.35552978515625 670.5823974609375],0.6652700901031494,HA13NRU,0.2869074651677698
41,2.0,[221.88017113246406 500.88913294524366 463.5670747898114 716.2398697779773],[299.5407409667969 643.8927001953125 383.7168273925781 673.24560546875],0.6266913414001465,HA13NRU,0.48932160119999163
44,2.0,[218.79871249082782 504.1118543160567 461.65733276685853 717.2824981504348],[298.40625 646.2591552734375 382.28692626953125 676.2650146484375],0.6369200944900513,NA13NRU,0.3112986832642147
