frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
214,1,684.5603138456195 371.8868053436166 854.0657835429693 519.5982828628335,748.4813842773438 466.0291748046875 794.9345092773438 485.317138671875,0.39834269881248474,IF05JED,0.13903663346463271
215,1,684.5284477183774 372.4671844487603 854.3272863821644 520.4033542426812,748.6384374445134 466.82732876864344 795.0305772261186 486.08952192826706,0,0,0
216,1,684.4965815911353 373.04756355390396 854.5887892213597 521.2084256225289,748.7954906116832 467.62548273259944 795.1266451748935 486.86190518465907,0,0,0
217,1,684.4647154638932 373.6279426590477 854.8502920605548 522.0134970023768,748.9525437788529 468.4236366965554 795.2227131236683 487.6342884410511,0,0,0
218,1,684.4328493366511 374.20832176419134 855.1117948997501 522.8185683822245,749.1095969460227 469.2217906605114 795.3187810724431 488.4066716974432,0,0,0
219,1,684.400983209409 374.78870086933506 855.3732977389452 523.6236397620722,749.2666501131924 470.0199446244673 795.4148490212181 489.17905495383525,0,0,0
220,1,684.3691170821669 375.3690799744787 855.6348005781405 524.42871114192,749.4237032803622 470.8180985884233 795.5109169699929 489.95143821022725,0,0,0
221,1,684.3372509549248 375.94945907962244 855.8963034173356 525.2337825217678,749.5807564475319 471.61625255237925 795.6069849187678 490.7238214666193,0,0,0
222,1,684.3053848276828 376.5298381847661 856.1578062565308 526.0388539016155,749.7378096147017 472.41440651633525 795.7030528675426 491.4962047230114,0,0,0
223,1,684.2735187004407 377.1102172899098 856.419309095726 526.8439252814633,749.8948627818714 473.2125604802912 795.7991208163174 492.26858797940343,0,0,0
224,1,684.2416525731986 377.6905963950535 856.6808119349212 527.648996661311,750.0519159490412 474.0107144442472 795.8951887650924 493.04097123579544,0,0,0
225,1,684.2097864459565 378.2709755001972 856.9423147741164 528.4540680411587,750.2089691162109 474.8088684082031 795.9912567138672 493.8133544921875,0,0,0
226,1,684.1779203187144 378.85135460534093 857.2038176133116 529.2591394210066,750.3660222833806 475.60702237215907 796.087324662642 494.58573774857956,0,0,0
227,1,684.1460541914723 379.4317337104846 857.4653204525068 530.0642108008543,750.5230754505504 476.40517633611506 796.1833926114169 495.35812100497157,0,0,0
228,1,684.1141880642302 380.0121128156283 857.726823291702 530.869282180702,750.6801286177201 477.203330300071 796.2794605601918 496.1305042613636,0,0,0
229,1,684.0823219369881 380.592491920772 857.9883261308971 531.6743535605498,750.8371817848899 478.001484264027 796.3755285089666 496.9028875177557,0,0,0
230,1,684.050455809746 381.1728710259157 858.2498289700924 532.4794249403976,750.9942349520596 478.79963822798294 796.4715964577415 497.67527077414775,0,0,0
231,1,684.018589682504 381.75325013105936 858.5113318092875 533.2844963202454,751.1512881192294 479.59779219193894 796.5676644065163 498.44765403053975,0,0,0
232,1,683.9867235552618 382.3336292362031 858.7728346484828 534.0895677000931,751.3083412863991 480.3959461558949 796.6637323552912 499.2200372869318,0,0,0
233,1,683.9548574280197 382.91400834134674 859.0343374876779 534.8946390799408,751.4653944535689 481.1941001198509 796.7598003040661 499.9924205433239,0,0,0
234,1,683.9229913007777 383.49438744649046 859.2958403268732 535.6997104597887,751.6224476207386 481.9922540838068 796.8558682528409 500.76480379971593,0,0,0
235,1,683.8911251735356 384.0747665516341 859.5573431660683 536.5047818396364,751.7795007879084 482.7904080477628 796.9519362016158 501.53718705610794,0,0,0
236,1,683.8592590462936 384.65514565677785 859.8188460052636 537.3098532194841,751.9365539550781 483.58856201171875 797.0480041503906 502.3095703125,0,0,0
237,1,683.8273929190515 385.23552476192157 860.0803488444587 538.1149245993319,752.0936071222478 484.3867159756747 797.1440720991654 503.08195356889206,0,0,0
238,1,683.7955267918094 385.81590386706523 860.3418516836539 538.9199959791796,752.2506602894176 485.1848699396307 797.2401400479404 503.85433682528407,0,0,0
239,1,683.7636606645673 386.39628297220895 860.6033545228491 539.7250673590274,752.4077134565873 485.9830239035866 797.3362079967152 504.6267200816761,0,0,0
240,1,683.7317945373252 386.9766620773526 860.8648573620443 540.5301387388752,752.5647666237571 486.7811778675426 797.43227594549 505.3991033380682,0,0,0
241,1,683.6999284100831 387.55704118249633 861.1263602012395 541.3352101187229,752.7218197909268 487.57933183149856 797.5283438942649 506.17148659446025,0,0,0
242,1,683.668062282841 388.13742028764 861.3878630404347 542.1402814985706,752.8788729580966 488.37748579545456 797.6244118430398 506.94386985085225,0,0,0
243,1,683.6361961555989 388.7177993927837 861.64936587963 542.9453528784185,753.0359261252663 489.1756397594105 797.7204797918147 507.7162531072443,0,0,0
244,1,683.6043300283568 389.2981784979274 861.9108687188251 543.7504242582662,753.1929792924361 489.9737937233665 797.8165477405895 508.4886363636364,0,0,0
245,1,683.5724639011147 389.8785576030711 862.1723715580202 544.5554956381139,753.3500324596058 490.77194768732244 797.9126156893643 509.2610196200284,0,0,0
246,1,683.5405977738726 390.45893670821476 862.4338743972155 545.3605670179617,753.5070856267756 491.57010165127843 798.0086836381392 510.03340287642044,0,0,0
247,1,683.5087316466305 391.0393158133585 862.6953772364106 546.1656383978095,753.6641387939453 492.3682556152344 798.1047515869141 510.8057861328125,0,0,0
248,1,683.4768655193884 391.6196949185022 862.9568800756059 546.9707097776572,753.821191961115 493.1664095791904 798.2008195356889 511.57816938920456,0,0,0
249,1,683.4449993921463 392.20007402364587 863.218382914801 547.775781157505,753.9782451282848 493.9645635431463 798.2968874844638 512.3505526455966,0,0,0
250,1,683.4131332649042 392.7804531287896 863.4798857539963 548.5808525373527,754.1352982954545 494.76271750710225 798.3929554332386 513.1229359019886,0,0,0
251,1,683.3812671376622 393.36083223393325 863.7413885931915 549.3859239172004,754.2923514626243 495.56087147105825 798.4890233820134 513.8953191583806,0,0,0
252,1,683.3494010104201 393.941211339077 864.0028914323866 550.1909952970483,754.449404629794 496.3590254350142 798.5850913307884 514.6677024147727,0,0,0
253,1,683.317534883178 394.52159044422064 864.2643942715819 550.996066676896,754.6064577969638 497.1571793989702 798.6811592795632 515.4400856711648,0,0,0
